ID,Identyfikator API,Nazwa,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Budynku,Numer Lokalu,Email,Telefon,Liczba dzieci,Liczba miejsc,Adres WWW
1669,11303/Z,"Żłobek oddział nr 6  (Zespół Żłobka i Klubów Dziecięcych siedziba : ul.B.Prusa 253A, Sosnowiec)",ŚLĄSKIE,Sosnowiec,Sosnowiec,Sosnowiec,ul. Czołgistów,5,,zzikd@zlobki.sosnowiec.pl,322636171,40,40,http://www.zlobekmiejski.sosnowiec.pl
1670,11305/Z,Niepubliczne Przedszkole HAPPY CHILDREN Magdalena Stromska,POMORSKIE,kartuski,Przodkowo,Przodkowo,ul. Gdańska,22,,happychildren@wp.pl,503421340,24,26,www.happychildren.pl
1671,11336/Z,Żłobek Tup Tusie,LUBELSKIE,Lublin,Lublin,Lublin,ul. Bursztynowa,1,8U,kontakt@tuptusie.org,500121181,20,20,www.tuptusie.org
1672,11338/Z,"Żłobek ""Mały Jaś""",MAŁOPOLSKIE,olkuski,Olkusz,Olkusz,ul. Marii Curie-Skłodowskiej,43 a,,zlobekjas@gmail.com,519800895,18,24,
1673,8523/Z,"Żłobek Niepubliczny ,,Pluszowa Akademia” ",MAZOWIECKIE,Warszawa,Warszawa - Ursynów,Warszawa - Ursynów,ul. Dereniowa,52,54,kontakt@pluszowaakademia.pl,+48737461830,15,15,www.pluszowaakademia.pl
1674,8527/Z,WERONIKA KARABINOWSKA ŻŁOBEK KRAINA DŹWIĘKÓW filia os. Kwiatowe,WIELKOPOLSKIE,Poznań,Poznań-Grunwald,Poznań-Grunwald,ul. Daliowa,36,,kraina.dzwiekow@wp.pl,532523652,18,20,
1675,8532/Z,Niepubliczne Przedszkole i Żłobek Aniołek ,POMORSKIE,starogardzki,Skarszewy,Skarszewy,ul. Kościerska,7,,kontakt@aniolek-skarszewy.pl,585310716,24,27,www.aniolek-skarszewy.pl
1676,8582/Z,Tęczowa Krainka,KUJAWSKO-POMORSKIE,Toruń,Toruń,Toruń,ul. Lubicka,32,,karolina.stusinska@wp.pl,530993672,11,20,www.teczowakrainka.pl
1677,8611/Z,"Klub Dziecięcy ""Happy Days - Szczęśliwe Dni""",WIELKOPOLSKIE,Leszno,Leszno,Leszno,ul. Jana Poplińskiego,1a,,dyrektor@happydays-leszno.pl,608111377,0,19,
1678,8612/Z,Akademia Odkrywców Klub Malucha,WIELKOPOLSKIE,Leszno,Leszno,Leszno,ul. Iglasta,4,,sekretariat@akademiaodkrywcow.leszno.pl,"607595599,655208899",0,22,www.akademiaodkrywcow.leszno.pl
1679,8902/Z,Żłobek Niepubliczny Lubliniaczek,LUBELSKIE,Lublin,Lublin,Lublin,ul. Jana Kiepury,5A,,zlobek@lubliniaczek.pl,537354037,15,44,lubliniaczek.pl
1680,8913/Z,Żłobek Miejski w Zielonce,MAZOWIECKIE,wołomiński,Zielonka,Zielonka,ul. Stanisława Staszica,16,,zlobekmiejski@zielonka.pl,505002774,20,20,https://przedszkolenr4zielonka.szkolnastrona.pl/
1681,8914/Z,Żłobek Hocki-Klocki,MAZOWIECKIE,miński,Mińsk Mazowiecki,Mińsk Mazowiecki,ul. 1 PLM Warszawa,5,10,hocki-klocki.zlobek@wp.pl,600266166,25,25,
1682,8915/Z,Niepubliczny Żłobek im. Matki Jadwigi Kuleszy,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Wczasy,2,,przedszkole@benedyktynki.pl,505196765,29,35,www.przedszkole.benedyktynki.pl
1683,8916/Z,Klub dziecięcy Małe Stópki,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Niepołomicka,31,,kontakt@malestopki.gda.pl,605540605,15,15,www.malestopki.gda.pl
1684,8917/Z,Niepubliczny Żłobek Ujeścisko,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Płocka,4,,przedszkole@ujescisko.pl,735418500,38,45,www.przedszkoleujescisko.pl
1685,8924/Z,"Publiczny Żłobek ""BIECKA AKADEMIA MALUCHA"" w Bieczu",MAŁOPOLSKIE,gorlicki,Biecz,Biecz,ul. Tysiąclecia,29,,biecka.akademia.malucha@gmail.com,134471341,38,49,www.bam.biecz.pl
1686,8925/Z,Gminny Żłobek w Czarnem,POMORSKIE,człuchowski,Czarne,Czarne,ul. Wojska Polskiego,1,,zlobekwczarnem@gmail.com,530767314,25,25,
1687,7438/Z,Niepubliczny Żłobek ZIARENKO,LUBELSKIE,Lublin,Lublin,Lublin,ul. Bursztynowa,20,,biuro@przedszkoleziarenko.pl,"605373563,814459724",18,18,przedszkoleziarenko.pl
1688,7514/Z,"KLUB DZIECIĘCY ""MALUSZEK"" IWONA HOFMAN",WIELKOPOLSKIE,wrzesiński,Września,Września,ul. Słowackiego,54,,dyrekcja@maliprzyrodnicy.wrzesnia.pl,614362778,14,25,
1689,7515/Z,Żłobek Niepubliczny Mała Panda nr 2,MAZOWIECKIE,grodziski,Milanówek,Milanówek,ul. Wiejska,8a,2,mgrzybowska@malapanda.pl,696460494,29,29,www.malapanda.pl
1690,7520/Z,"Żłobek  ""Domek Maluszka Tygrysek""",LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Racula-Głogowska,67,,dorotakopec61@gmail.com,660634988,33,33,www.tygrysek.zgora.pl
1691,7521/Z,Prywatny Żłobek A ku ku ,LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Łężyca-Budowlanych,7C,3U i 4U,katarzynad2@poczta.onet.pl,506185720,21,21,
1692,7523/Z,PRZEDSZKOLE I ŻŁOBEK ŚLIMACZEK,KUJAWSKO-POMORSKIE,toruński,Lubicz,Krobia,ul. Osikowa,2,,przedszkole@slimaczek.com,664456757,22,22,www.slimaczek.com
1693,11532/Z,Pierwsze Kroki - Klub Dziecięcy Justyna Kapuścińska i Magdalena Lenart s.c,DOLNOŚLĄSKIE,wrocławski,Jordanów Śląski,Jordanów Śląski,ul. Szkolna,2,,pierwszekrokiklubdzieciecy@wp.pl,609497346,40,40,
1694,11700/Z,Niepubliczny Żłobek Happy Kids,MAZOWIECKIE,wołomiński,Ząbki,Ząbki,ul. Lipowa,21,,happykidsplace@wp.pl,662410137,8,24,
1695,11703/Z,Żłobek Gminny w Lądku-Zdroju,DOLNOŚLĄSKIE,kłodzki,Lądek-Zdrój,Lądek-Zdrój,ul. Powstańców Wielkopolskich,26A,,gppladek@op.pl,746396099,21,24,
1696,11793/Z,Żłobek Samorządowy w Wiśniowej,PODKARPACKIE,strzyżowski,Wiśniowa,Wiśniowa,,76B,,zlobek@wisniowa.pl,173333141,32,32,www.zlobekwisniowa.pl
1697,2544/Z,"Żłobek ""Iskierka"" Maria Cieślik",ŚLĄSKIE,raciborski,Racibórz,Racibórz,ul. Plebiscytowa,14b,,kontakt@zlobekiskierka.pl,507108915,15,16,www.zlobekiskierka.pl
1698,10292/Z,Niepubliczny Żłobek KUM-KUM-2,MAZOWIECKIE,Warszawa,Warszawa - Wola,Warszawa - Wola,ul. Radziwie,7,U7,zlobek@kum-kum.pl,881000080,30,30,
1699,8069/Z,"Żłobek ""Kraina Marzeń""",KUJAWSKO-POMORSKIE,Grudziądz,Grudziądz,Grudziądz,ul. Jana III Sobieskiego,25,,przedszkole.krainamarzen@gmail.com,532656532,25,43,
1700,10382/Z,Akademia Kinder Centrum,OPOLSKIE,Opole,Opole,Opole,ul. Partyzancka,7,,biuro@kinder-centrum.pl,606224563,67,81,www.kindercentrum.pl
1701,9466/Z,ŻŁOBEK SKRZACIK,LUBELSKIE,Lublin,Lublin,Lublin,ul. Feliksa Strojnowskiego,10A,,maria59z@tlen.pl,886325112,4,15,przedszkoleskrzacik.pl
1702,9507/Z,"żłobek ""Jagódka""",PODKARPACKIE,Przemyśl,Przemyśl,Przemyśl,ul. Lwowska,70,,edytalenar@interia.pl,505985085,45,45,
1703,7850/Z,Żłobek Kreatywne Maluszki,WIELKOPOLSKIE,Poznań,Poznań-Grunwald,Poznań-Grunwald,ul. Sielska,23,,kreatywne.maluszki.poznan@gmail.com,573207500,43,50,www.kreatywnemaluszki.pl
1704,7869/Z,"Gminny Żłobek w Dąbkowie ""Kraina Malucha""",PODKARPACKIE,lubaczowski,Lubaczów,Dąbków,ul. gen. Stanisława Dąbka,2,,zlobek@lubaczow.com.pl,731966559,28,28,
1705,7909/Z,Żłobek Re-Re Kum-Kum,MAŁOPOLSKIE,Kraków,Kraków-Krowodrza,Kraków-Krowodrza,ul. Stanisława Przybyszewskiego,20,,klubmalucha@onet.pl,509301283,30,30,rerekumkum.com
1706,8012/Z,DOMINO Agnieszka Kulikowska,DOLNOŚLĄSKIE,ząbkowicki,Ząbkowice Śląskie,Ząbkowice Śląskie,ul. Jeżynowa,32,,dominozlobek123@wp.pl,606131786,22,22,www.zipdomino.pl
1707,8013/Z,"Przedszkole Niepubliczne i Żłobek ""Bajka"" Rywacka Lidia",MAZOWIECKIE,Radom,Radom,Radom,ul. Podmiejska,50,1,bajka501@wp.pl,605955430,15,15,www.bajka.radom.pl
1708,9839/Z,"NIEPUBLICZNY ŻŁOBEK I PRZEDSZKOLE ""ŚWIAT DZIECKA""",ŚLĄSKIE,będziński,Siewierz,Siewierz,ul. Wolności,2,,nzip.swiatdziecka@gmail.com,602285208,20,25,www.swiatdziecka.org.pl
1709,7577/Z,"Klub dziecięcy ""Pod bociusiem""",MAŁOPOLSKIE,wielicki,Niepołomice,Wola Zabierzowska,,1,,zespol.klubow.dzieciecych@gmail.com,736364978,20,20,
1710,7583/Z,AKADEMICKIE MALUSZKOWO,PODKARPACKIE,Rzeszów,Rzeszów,Rzeszów,ul. Poznańska,2B,,biuro@maluszkowo.com.pl,533324716,0,44,www.maluszkowo.com.pl
1711,9877/Z,Żłobek Miejski w Ustrzykach Dolnych,PODKARPACKIE,bieszczadzki,Ustrzyki Dolne,Ustrzyki Dolne,ul. Pionierska,8,,zlobekmiejski@ustrzyki-dolne.pl,134939556,72,72,zlobekmiejski.ustrzyki-dolne.pl
1712,10198/Z,Żłobek nr 61,MAZOWIECKIE,Warszawa,Warszawa - Praga-Południe,Warszawa - Praga-Południe,ul. Jana Nowaka-Jeziorańskiego,1A,,zlobek61@zlobki.waw.pl,789494995,154,150,www.zlobki.waw.pl
1713,2666/Z,Żłobek nr 3 Złota Rybka,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Tytusa Chałubińskiego,20,,zlotarybka@zlobki.gda.pl,583028867,96,96,www.zlobki.gda.pl
1714,5398/Z,Niepubliczny Żłobek Planeta Marzeń,MAZOWIECKIE,Warszawa,Warszawa - Targówek,Warszawa - Targówek,ul. Władysława Łokietka,1,1,biuro@planetamarzen.com,780160358,23,29,www.planetamarzen.com
1715,9735/Z,Żłobek Słoneczna Polana,MAZOWIECKIE,wołomiński,Kobyłka,Kobyłka,ul. Jana Brzechwy,5,,przedszkole@slonecznapolana.edu.pl,"227860070,608757200",13,20,www.slonecznapolana.edu.pl
1716,11870/Z,Niepubliczny Żłobek MIKILAND,MAZOWIECKIE,Warszawa,Warszawa - Włochy,Warszawa - Włochy,ul. Obywatelska,1,,mikiland@mikiland.pl,601131998,23,23,http://www.mikiland.pl/
1717,11881/Z,"KLUB MALUCHA ""HOPSIUP""",ŚLĄSKIE,Bytom,Bytom,Bytom,ul. Reptowska,17,,dc@hopsiup.bytom.pl,574663255,24,24,www.hopsiup.bytom.pl
1718,11882/Z,Żłobek TUPTUSIE,MAŁOPOLSKIE,oświęcimski,Oświęcim,Oświęcim,ul. 11 Listopada,3F,2,amajerczakanska@gmail.com,+48789283760,27,35,facebook @ZlobekTuptusieOswiecim
1719,11927/Z,Żłobek Myszka Miki,MAZOWIECKIE,pruszkowski,Pruszków,Pruszków,ul. Chabrowa,16,,akademia@zlobekmyszkamiki.pl,883750040,15,15,www.zlobekmyszkamiki.pl
1720,11928/Z,AKADEMIA MALUCHA,WARMIŃSKO-MAZURSKIE,Olsztyn,Olsztyn,Olsztyn,ul. Melchiora Wańkowicza,9,,dsl68@wp.pl,664139753,7,26,
1721,11949/Z,Klub Dziecięcy Telesforek,ŚLĄSKIE,Chorzów,Chorzów,Chorzów,ul. Tadeusza Kościuszki,52,,telesforek.chorzow@gmail.com,660535656,15,20,www.telesforek.pl
1722,11952/Z,Żłobek MAŁE TUBISIE,MAZOWIECKIE,przasnyski,Przasnysz,Przasnysz,ul. Królewiecka,10,,zlobek.maletubisie@wp.pl,505890115,19,40,
1723,11954/Z,Niepubliczny Żłobek MegaMocni Suchanino,POMORSKIE,Gdańsk,Gdańsk,Gdańsk,ul. Zygmunta Noskowskiego,1,,suchanino@megamocni.edu.pl,512035708,37,45,https://megamocni.edu.pl/
1724,8295/Z,",,Mini Klubik"" Niepubliczny klubik dziecięcy",MAZOWIECKIE,piaseczyński,Lesznowola,Mroków,ul. Rejonowa,34,C,miniprzedszkole.mrokow@gmail.com.pl,502183962,11,10,www.miniprzedzkole.com.pl
1725,8480/Z,Klub Malucha Kreatywne Szkraby,ŚLĄSKIE,wodzisławski,Wodzisław Śląski,Wodzisław Śląski,ul. Partyzantów,2,,kreatywneszkraby@gmail.com,500239402,15,15,http://kreatywneszkraby.pl/
1726,8482/Z,EJBISI,ŚLĄSKIE,Ruda Śląska,Ruda Śląska,Ruda Śląska,ul. Kłodnicka,54a,,biuro@ejbisi.pl,536855908,20,45,www.ejbisi.pl
1727,8483/Z,"Niepubliczny Żłobek ""Bajkowa Akademia Maluszka""",MAŁOPOLSKIE,limanowski,Limanowa,Pisarzowa,,194,,malgorzataserafinlatka@gmail.com,733738844,4,14,https://bajkowa-akademia-maluszka.edu.pl/
1728,8484/Z,Prywatny Żłobek Kubuś i Przyjaciele Karolina Strugała,MAŁOPOLSKIE,bocheński,Lipnica Murowana,Lipnica Murowana,,2,2,kubus.lipnica@o2.pl,663053386,29,27,www.kubuslipnica.pl
1729,2564/Z,"Żłobek ""SZKARBEK""",ŚLĄSKIE,bielski,Kozy,Kozy,ul. Dworcowa,27,,szkarbek@gmail.com,660970786,19,25,www.szkarbek.com.pl
1730,7508/Z,Malinowe Wzgórze,DOLNOŚLĄSKIE,wrocławski,Kobierzyce,Tyniec Mały,ul. Polna,8A,,malinowewzgorze@wp.pl,508951711,25,25,
1731,8701/Z,"Żłobek ""CASPER"" Kamila Skrzypczyńska",LUBELSKIE,łęczyński,Łęczna,Łęczna,ul. Magnoliowa,4,,kamila.przedszkole@wp.pl,513727291,25,42,brak
1732,8703/Z,Gminny Żłobek w Głuchowie,ŁÓDZKIE,skierniewicki,Głuchów,Głuchów,pl. Plac Uniwersytecki,5,,przedszkolegluchow@wp.pl,468157193,41,51,http://przedszkolegluchow.szkolnastrona.pl/
1733,8730/Z,"Klub Dziecięcy ""Froguś""",KUJAWSKO-POMORSKIE,inowrocławski,Janikowo,Janikowo,ul. Dworcowa,1,,frogus.ino@gmail.com,606821143,16,28,
1734,9208/Z,"Filia Żłobek ""Cypisek""",WIELKOPOLSKIE,szamotulski,Szamotuły,Szamotuły,ul. Łąkowa,9,,zlobekcypisek.lakowa@gmail.com,+48731748897,27,27,www.zlobek-cypisek.pl
1735,9269/Z,"Żłobek ""Fabryczka"" ",MAŁOPOLSKIE,Kraków,Kraków-Śródmieście,Kraków-Śródmieście,ul. Fabryczna,3,1,ckdfabryczka@gmail.com,607143286,19,19,www.ckdfabryczka.pl
1736,9272/Z,"Żłobek ""Mały Szkrab""",ŚLĄSKIE,Katowice,Katowice,Katowice,ul. Bernarda Krawczyka,1,,zlobek@synercom.pl,324204257,51,56,www.zlobek.synercom.pl
1737,2255/Z,"Żłobek ""Radosna Kraina""",LUBELSKIE,Zamość,Zamość,Zamość,ul. Majdan,82,,stowjestesmyztoba@poczta.onet.pl,507155667,26,36,www.zlobekradosnakraina.pl
1738,6414/Z,"Żłobek ""Ziarenko",MAZOWIECKIE,Warszawa,Warszawa - Ursynów,Warszawa - Ursynów,ul. Eugeniusza Lokajskiego,24,50,agnieszka.morzy@gmail.com,792770972,15,15,www.zlobekziarenko.pl
1739,6303/Z,Żłobki Miejskie,ŚLĄSKIE,Gliwice,Gliwice,Gliwice,ul. Generała Leona Berbeckiego,10,,sekretariat@zm.gliwice.eu,322313684,40,40,www.zlobki.gliwice.pl
1740,10379/Z,ŻŁOBEK NIEPUBLICZNY KULKA,WIELKOPOLSKIE,poznański,Komorniki,Wiry,ul. Poznańska,43,,zlobek@przedszkolekulka.pl,575667513,33,36,www.przedszkolekulka.pl
1741,9787/Z,ŻŁOBEK WESOŁE PROMYCZKI,LUBELSKIE,Lublin,Lublin,Lublin,ul. Dziewanny,3,3A,wesolepromyczkilublin@wp.pl,510160900,30,36,wesolepromyczki.pl
1742,10532/Z,Kraina marzeń,PODKARPACKIE,przemyski,Żurawica,Buszkowice,,144,,tabi3@wp.pl,506164873,33,34,www.krainamarzen-buszkowice.pl
1743,10561/Z,"Żłobek ""Szalona Żyrafa"" w Jarocinie",WIELKOPOLSKIE,jarociński,Jarocin,Jarocin,ul. Wrzosowa,4,,szalonazyrafa@wp.pl,505099276,40,40,
1744,8061/Z,"Niepubliczny Żłobek ""Sasanka""",MAZOWIECKIE,pruszkowski,Michałowice,Nowa Wieś,ul. Sasanek,6a,,kontakt@przedszkolesasanka.pl,+48507109005,23,34,www.przedszkolesasanka.pl
1745,11957/Z,Uniwersytet Malucha - Żłobek Montessori,MAŁOPOLSKIE,krakowski,Zielonki,Zielonki,ul. Galicyjska,16,,badura.irena@gmail.com,603997694,17,20,http://uniwersytetmalucha.edu.pl/
1746,11958/Z,NIEPUBLICZNY ŻŁOBEK PUCHATEK,OPOLSKIE,brzeski,Brzeg,Brzeg,ul. Piastowska,21,,sylwester.szuster@gmail.com,509715034,65,72,
1747,8473/Z,MAŁE STÓPKI,MAZOWIECKIE,otwocki,Wiązowna,Wiązowna,ul. Polna,14,,biuro@malestopki.edu.pl,500400242,38,47,www.malestopki.edu.pl
1748,11965/Z,Niepubliczny Żłobek Karolek,MAŁOPOLSKIE,wielicki,Gdów,Nieznanowice,,24,,stowarzyszenie@nieznanowice24.pl,123858672,20,26,www.nieznanowice24.pl
1749,11966/Z,"Żłobek ""U Kubusia Puchatka""",DOLNOŚLĄSKIE,oleśnicki,Oleśnica,Oleśnica,ul. Koszarowa,6,,biuro@przedszkole.olesnica.pl,717570883,30,34,www.przedszkole.olesnica.pl
1750,9198/Z,"Filia Żłobka ,,Karuzela”",MAZOWIECKIE,Warszawa,Warszawa - Bielany,Warszawa - Bielany,ul. Kaskadowa,5,1,zlobek@karuzela.edu.pl,512526737,12,13,
1751,9233/Z,Bamboo Montessori,MAŁOPOLSKIE,Kraków,Kraków-Podgórze,Kraków-Podgórze,ul. Wacława Lipińskiego,13,D,office@bamboomontessori.com,696809642,34,38,www.bamboomontessori.com
1752,9240/Z,"Żłobek dziecięcy ""Jagoda i Humorek""",WIELKOPOLSKIE,poznański,Tarnowo Podgórne,Sady,ul. Jagodowa,11,,jagodaihumorek@gmail.com,721250555,9,15,http://www.jagodaihumorek.pl
1753,9303/Z,"Niepubliczny Żłobek ""Małpie Figle""",MAŁOPOLSKIE,krakowski,Iwanowice,Iwanowice Dworskie,ul. Jurajska,9,,mrugalski.mar@gmail.com,889627655,23,23,
1754,2322/Z,"Niepubliczny Żłobek ""Stokrotka""",ZACHODNIOPOMORSKIE,goleniowski,Goleniów,Goleniów,ul. Bohaterów Warszawy,21,,ijaruta@wp.pl,502744012,15,15,www.stokrotkagoleniow.pl
1755,10555/Z,ŻŁOBEK MIEJSKI Jednostka organizacyjna gminy Bielsko-Biała,ŚLĄSKIE,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,ul. Pod Grodziskiem,4,,zlobek@zlobekbielsko.pl,334964223,89,94,www.zlobekbielsko.pl
1756,2436/Z,Żłobek Gminny w Branicach,OPOLSKIE,głubczycki,Branice,Branice,ul. 1 Maja,8,,majka29@poczta.onet.eu,774868370,16,20,
1757,2394/Z,Żłobek Balbinka,WIELKOPOLSKIE,Poznań,Poznań-Stare Miasto,Poznań-Stare Miasto,os. Bolesława Śmiałego,106,,balbinka@zlobekpoznan.pl,669606011,85,85,
1758,2474/Z,Żłobek Miejski nr 1 w Świdniku,LUBELSKIE,świdnicki,Świdnik,Świdnik,ul. Środkowa,2,,zzm@oswiata.e-swidnik.pl,737279008,28,28,http://www.zzmswidnik.szkolnastrona.pl/
1759,2442/Z,Żłobek nr 10,OPOLSKIE,kędzierzyńsko-kozielski,Kędzierzyn-Koźle,Kędzierzyn-Koźle,ul. Kazimierza Wielkiego,6,,dyrektorzlobek10@kedzierzynkozle.pl,774723118,20,32,www.zlobek10.pl
1760,20397/Z,Samorządowy Żłobek w Gdowie,MAŁOPOLSKIE,wielicki,Gdów,Gdów,ul. Lekarska,6,,sekretariat@zlobekgdow.pl,123915566,50,58,
1761,4382/Z,"KLUB MALUCHA "" TĘCZA""",MAZOWIECKIE,wołomiński,Tłuszcz,Tłuszcz,,49,,anetazak14@interia.pl,697252073,25,25,
1762,5023/Z,"Klub Dziecięcy ""Zaczarowana Kraina""",WARMIŃSKO-MAZURSKIE,ostródzki,Ostróda,Ostróda,ul. Handlowa,4,,alina.s9@wp.pl,602724208,20,20,www.zaczarowanakraina.com.pl
1763,4335/Z,Żłobek nr 32,MAZOWIECKIE,Warszawa,Warszawa - Praga-Południe,Warszawa - Praga-Południe,ul. Tadeusza Sygietyńskiego,4,,zlobek32@zlobki.waw.pl,723248047,79,79,www.zlobki.waw.pl
1764,4376/Z,Żłobek nr 38,MAZOWIECKIE,Warszawa,Warszawa - Praga-Północ,Warszawa - Praga-Północ,ul. Bertolta Brechta,14a,,zlobek38@zlobki.waw.pl,723248053,100,93,www.zlobki.waw.pl
1765,4383/Z,Żłobek nr 48,MAZOWIECKIE,Warszawa,Warszawa - Ursus,Warszawa - Ursus,ul. Czerwona Droga,6,,zlobek48@zlobki.waw.pl,797990849,155,157,www.zlobki.waw.pl
1766,5404/Z,"Żłobek ""WESOŁE SKRZATY""",ŚLĄSKIE,Tychy,Tychy,Tychy,al. Marszałka Piłsudskiego,115,,wesoleskrzaty@vp.pl,604253593,15,20,www.wesoleskrzaty-tychy.pl
1767,5393/Z,"Żłobek ""Maleństwo i Przyjaciele 2""",MAZOWIECKIE,Warszawa,Warszawa - Wawer,Warszawa - Wawer,ul. Stradomska,6,,sekretariatwawer@malenstwo24.pl,533344874,48,48,malenstwo24.pl
1768,8942/Z,Latarnia żłobek Integracyjny,POMORSKIE,Sopot,Sopot,Sopot,ul. Skarpowa,2,,monikaksiazek37@gmail.com,691832223,11,18,
1769,7953/Z,Niepubliczny Żłobek Akademia Fantazji,MAZOWIECKIE,wołomiński,Ząbki,Ząbki,ul. Józefa Piłsudskiego,46,,biuro@akademiafantazji.pl,531586227,10,16,www.akademiafantazji.pl
1770,9397/Z,Żłobek Dobrego Startu Nr 2,POMORSKIE,gdański,Pruszcz Gdański,Pruszcz Gdański,ul. Ignacego Domeyki,5,14,kontakt@zlobekdobregostartu.pl,503873584,16,20,http://www.zlobekdobregostartu.pl
1771,9575/Z,"Niepubliczny  Klub Dziecięcy ""Bajlandia”",MAZOWIECKIE,Warszawa,Warszawa - Białołęka,Warszawa - Białołęka,ul. Białołęcka,186,,anulawojna@wp.pl,"226750137,888136098",9,9,http://przedszkole-bajlandia.pl
1772,4094/Z,Miejski Zespół Żłobków Żłobek Nr 23,ŁÓDZKIE,Łódź,Łódź-Widzew,Łódź-Widzew,ul. Tatrzańska,27/29,,zlobek23@mzz.lodz.pl,+48515062487,92,80,http://www.mzz.lodz.pl/
1773,2642/Z,TĘCZOWY ŚWIAT DZIECKA,ŁÓDZKIE,Łódź,Łódź-Śródmieście,Łódź-Śródmieście,ul. dr. Seweryna Sterlinga,26,,przedszkole@ipt.pl,422995741,14,20,http://zlobek.ipt.pl/pl/strona-glowna/
1774,9761/Z,"Niepubliczny Żłobek ""Klub Malucha Baby Town""",ŁÓDZKIE,bełchatowski,Bełchatów,Bełchatów,ul. Armii Krajowej,14,,biuro@przedszkole-babytown.pl,728527162,15,30,www.przedszkole-babytown.pl
1775,9352/Z,Żłobek Miejski Nr 1 w Głogowie,DOLNOŚLĄSKIE,głogowski,Głogów,Głogów,ul. Andromedy,23,,zlobek1@pp1.glogow.pl,767460786,40,40,http://www.pp1.glogow.pl/
1776,8112/Z,Żłobek Abc...,MAZOWIECKIE,wołomiński,Wołomin,Wołomin,ul. Matejki,25,,abcprzedszkole@wp.pl,506482882,24,24,www.abcprzedszkole.pl
1777,9220/Z,Aniołkowo Złotno,ŁÓDZKIE,Łódź,Łódź-Polesie,Łódź-Polesie,ul. Krakowska,42,,krakowska@kids-club.pl,509336709,15,15,www.kids-club.pl
1778,8400/Z,Żłobek Cogito,ŚLĄSKIE,pszczyński,Pszczyna,Łąka,ul. Wczasowa,29,,biuro@centrumcogito.pl,693352379,18,48,www.centrumcogito.pl
1779,8433/Z,"Klub dziecięcy ""Bajkowa Przystań""",DOLNOŚLĄSKIE,Wrocław,Wrocław-Krzyki,Wrocław-Krzyki,ul. Krakowska,56-62,,dyrektor@bajkowaprzystan.pl,690009699,0,23,www.bajkowaprzystan.pl
1780,7495/Z,Radosny Domek pod Sosnami,MAZOWIECKIE,warszawski zachodni,Izabelin,Izabelin C,ul. Jakuba Przyłuskiego,5,,radosny.domek@wp.pl,888725205,12,28,www.radosnydomek.com
1781,9717/Z,Zaufany Żłobek,MAZOWIECKIE,Warszawa,Warszawa - Wola,Warszawa - Wola,ul. Józefa Sowińskiego,25,U6,zaufany.zlobek@wp.pl,578421747,34,34,
1782,5849/Z,Żłobek MiMisie,MAZOWIECKIE,Warszawa,Warszawa - Targówek,Warszawa - Targówek,ul. Bogumińska,5,,ziemska@wp.pl,721016151,15,15,
1783,7731/Z,Żłobek Tajemnicza Wyspa,WIELKOPOLSKIE,poznański,Kórnik,Borówiec,ul. Nad Potokiem,2,,borowiec@tajemniczawyspa.com.pl,604780700,34,35,
1784,8361/Z,Żłobek,POMORSKIE,malborski,Stare Pole,Stare Pole,ul. Marynarki Wojennej,22,,zlobek@starepole.pl,552713097,31,31,
1785,8962/Z,U Kubusia Puchatka,DOLNOŚLĄSKIE,oleśnicki,Oleśnica,Oleśnica,ul. Koszarowa,4,,biuro@przedszkole.olesnica.pl,717570883,0,33,www.przedszkole.olesnica.pl
1786,9994/Z,Prywatny Żłobek Akademia Kolorowej Ciuchci,WIELKOPOLSKIE,poznański,Swarzędz,Zalasewo,ul. Hebanowa,29,,biuro@akademiakolorowejciuchci.pl,692575191,36,36,www.akademiakolorowejciuchci.pl
1787,10044/Z,Niepubliczny Żłobek Smyki w Alwerni,MAŁOPOLSKIE,chrzanowski,Alwernia,Alwernia,ul. Marii Skłodowskiej-Curie,3E,,zlobek.smyki.alwernia@gmail.com,510694781,30,30,www.smyki-zlobek.pl
1788,8492/Z,NIEPUBLICZNY ŻŁOBEK SMYKI Monika Bakalarz,MAŁOPOLSKIE,chrzanowski,Libiąż,Libiąż,ul. Łabędzia,10,,smyki.zlobek@gmail.com,518581221,16,20,www.smyki-zlobek.pl
1789,8264/Z,Polana Malowana Słońcem,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,Poznań-Nowe Miasto,os. Lecha,43,,zlobekpolana@gmail.com,510737669,40,50,www.polana-malowana-sloncem.pl
1790,7557/Z,Niepubliczny Żłobek Zielona Wyspa,MAŁOPOLSKIE,Kraków,Kraków-Podgórze,Kraków-Podgórze,ul. Doktora Judyma,16,,biuro@zielonawyspa.edu.pl,505160113,13,15,www.zielonawyspa.edu.pl
